#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         445     0.30303     0.30303 1.43467e-09
         446     0.30303     0.30303 1.45461e-09
         447     0.30303     0.30303 1.42057e-09
         448     0.30303     0.30303 1.41898e-09
         449     0.30303     0.30303  1.4174e-09
         450     0.30303     0.30303 1.39388e-09
         451     0.30303     0.30303 1.40334e-09
         452     0.30303     0.30303 1.40178e-09
         453     0.30303     0.30303 1.36702e-09
         454     0.30303     0.30303 1.36552e-09
         455     0.30303     0.30303 1.36402e-09
         456     0.30303     0.30303  1.3513e-09
         457     0.30303     0.30303 1.36103e-09
         458     0.30303     0.30303 1.35954e-09
         459     0.30303     0.30303 1.33561e-09
         460     0.30303     0.30303 1.33416e-09
         461     0.30303     0.30303 1.30993e-09
         462     0.30303     0.30303 1.30851e-09
         463     0.30303     0.30303 1.30709e-09
         464     0.30303     0.30303 1.28257e-09
         465     0.30303     0.30303 1.28119e-09
         466     0.30303     0.30303 1.27982e-09
         467     0.30303     0.30303 1.25499e-09
         468     0.30303     0.30303 1.26542e-09
         469     0.30303     0.30303 1.26407e-09
         470     0.30303     0.30303 1.26272e-09
         471     0.30303     0.30303  1.2378e-09
         472     0.30303     0.30303 1.24832e-09
         473     0.30303     0.30303   1.247e-09
         474     0.30303     0.30303 1.20992e-09
         475     0.30303     0.30303 1.20864e-09
         476     0.30303     0.30303 1.20737e-09
         477     0.30303     0.30303 1.18174e-09
         478     0.30303     0.30303 1.19274e-09
         479     0.30303     0.30303 1.20359e-09
         480     0.30303     0.30303 1.17804e-09
         481     0.30303     0.30303 1.17682e-09
         482     0.30303     0.30303 1.17559e-09
         483     0.30303     0.30303 1.14965e-09
         484     0.30303     0.30303 1.14846e-09
         485     0.30303     0.30303 1.14728e-09
         486     0.30303     0.30303  1.1209e-09
         487     0.30303     0.30303 1.11975e-09
         488     0.30303     0.30303  1.1186e-09
         489     0.30303     0.30303 1.13009e-09
         490     0.30303     0.30303 1.10356e-09
         491     0.30303     0.30303 1.10244e-09
         492     0.30303     0.30303 1.10132e-09
         493     0.30303     0.30303 1.07431e-09
         494     0.30303     0.30303 1.07322e-09
         495     0.30303     0.30303 1.07213e-09
         496     0.30303     0.30303 1.08404e-09
         497     0.30303     0.30303 1.04355e-09
         498     0.30303     0.30303  1.0425e-09
         499     0.30303     0.30303 1.04146e-09
         500     0.30303     0.30303 1.01339e-09
