#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         568    -5.52266    -5.55827  0.00358832
         569    -5.50814    -5.55818  0.00358309
         570    -5.49356    -5.55807   0.0035786
         571    -5.48284    -5.55794  0.00357476
         572     -5.4861    -5.55781  0.00357071
         573    -5.50451    -5.55772  0.00356569
         574    -5.53555    -5.55768  0.00355969
         575    -5.57168     -5.5577  0.00355358
         576     -5.6023    -5.55778  0.00354826
         577    -5.62361     -5.5579  0.00354394
         578    -5.63878    -5.55804  0.00354057
         579    -5.64846    -5.55819   0.0035379
         580    -5.65381    -5.55836  0.00353564
         581    -5.65419    -5.55852   0.0035334
         582    -5.65381    -5.55868  0.00353112
         583    -5.65225    -5.55885  0.00352871
         584    -5.64698      -5.559  0.00352589
         585    -5.63905    -5.55913  0.00352252
         586    -5.63188    -5.55926  0.00351869
         587    -5.62592    -5.55937  0.00351453
         588    -5.62544    -5.55948  0.00351035
         589    -5.62819     -5.5596  0.00350633
         590    -5.63025    -5.55972  0.00350243
         591    -5.62922    -5.55984  0.00349847
         592    -5.62427    -5.55995  0.00349426
         593    -5.61572    -5.56004  0.00348963
         594    -5.60366    -5.56011  0.00348453
         595    -5.58686    -5.56016  0.00347896
         596    -5.56421    -5.56017  0.00347313
         597    -5.53922    -5.56013  0.00346749
         598    -5.51457    -5.56005  0.00346253
         599    -5.49485    -5.55995  0.00345846
         600      -5.483    -5.55982  0.00345507
         601    -5.47951    -5.55968  0.00345191
         602    -5.48259    -5.55956  0.00344855
         603    -5.49256    -5.55944  0.00344462
         604    -5.51089    -5.55936  0.00343985
         605    -5.53157    -5.55932  0.00343447
         606     -5.5496     -5.5593  0.00342884
         607    -5.56223    -5.55931   0.0034232
         608    -5.56841    -5.55932   0.0034176
         609    -5.57184    -5.55934  0.00341205
         610    -5.57352    -5.55937  0.00340653
         611    -5.57201    -5.55939  0.00340102
         612    -5.57001     -5.5594  0.00339551
         613    -5.56528    -5.55941  0.00338998
         614    -5.55627    -5.55941  0.00338447
         615    -5.54694    -5.55939  0.00337902
         616    -5.53285    -5.55934  0.00337381
         617    -5.51818    -5.55928    0.003369
         618    -5.50582    -5.55919  0.00336466
         619    -5.49844    -5.55909  0.00336066
         620    -5.49791    -5.55899  0.00335669
         621    -5.51035    -5.55892   0.0033522
         622    -5.52892    -5.55887  0.00334715
         623    -5.55148    -5.55886   0.0033418
         624    -5.56957    -5.55887  0.00333649
         625    -5.57884    -5.55891   0.0033313
         626    -5.57773    -5.55894  0.00332612
         627    -5.56737    -5.55895  0.00332084
         628    -5.55596    -5.55894  0.00331556
         629    -5.54525    -5.55892  0.00331036
         630     -5.5343    -5.55888  0.00330533
         631    -5.52437    -5.55883  0.00330055
         632    -5.51662    -5.55876    0.003296
         633    -5.51121    -5.55869  0.00329165
         634    -5.50718    -5.55861  0.00328746
         635    -5.50788    -5.55853  0.00328325
         636    -5.51075    -5.55845  0.00327895
         637    -5.51945    -5.55839  0.00327437
         638    -5.53343    -5.55835  0.00326948
         639    -5.55052    -5.55834  0.00326438
         640    -5.56714    -5.55835  0.00325931
         641    -5.57649    -5.55838  0.00325435
         642    -5.57829    -5.55841  0.00324943
         643    -5.57747    -5.55844  0.00324451
         644    -5.57638    -5.55847  0.00323959
         645    -5.57771     -5.5585  0.00323471
         646    -5.58034    -5.55853  0.00322987
         647     -5.5837    -5.55857  0.00322512
         648    -5.58427    -5.55861  0.00322038
         649    -5.57813    -5.55864  0.00321556
         650    -5.56603    -5.55865  0.00321063
         651    -5.55704    -5.55865   0.0032057
         652    -5.55566    -5.55864  0.00320079
         653    -5.56172    -5.55865  0.00319589
         654    -5.56891    -5.55867  0.00319104
         655    -5.57398    -5.55869  0.00318626
         656    -5.57751    -5.55872  0.00318153
         657    -5.57745    -5.55875  0.00317682
         658    -5.57242    -5.55877  0.00317206
