#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         614    -2.90563    -4.02657   0.0471616
         615     -2.8797     -4.0247   0.0471218
         616    -2.92013    -4.02291   0.0470794
         617    -2.84596      -4.021   0.0470417
         618    -2.83302    -4.01908   0.0470049
         619    -2.80615    -4.01712   0.0469697
         620    -2.81777    -4.01519   0.0469338
         621    -2.73874    -4.01313   0.0469032
         622    -2.76077    -4.01112    0.046871
         623    -2.70033    -4.00901    0.046843
         624    -2.67041    -4.00687    0.046817
         625    -2.75071    -4.00486   0.0467852
         626    -2.71797     -4.0028   0.0467556
         627    -2.68792    -4.00071    0.046728
         628    -2.67201    -3.99859   0.0467015
         629    -2.60701    -3.99638   0.0466796
         630    -2.60576    -3.99417   0.0466577
         631     -2.6284    -3.99201   0.0466339
         632    -2.61407    -3.98983   0.0466111
         633    -2.70526     -3.9878   0.0465816
         634    -2.66357    -3.98571   0.0465549
         635    -2.71996    -3.98371   0.0465243
         636    -2.63656     -3.9816   0.0464993
         637      -2.591    -3.97941   0.0464775
         638    -2.63053     -3.9773   0.0464528
         639    -2.65957    -3.97524   0.0464258
         640    -2.65037    -3.97317   0.0463994
         641    -2.61498    -3.97105   0.0463754
         642    -2.60116    -3.96891   0.0463522
         643    -2.58993    -3.96677   0.0463297
         644    -2.56029    -3.96458   0.0463092
         645    -2.60085    -3.96247   0.0462856
         646     -2.5769    -3.96033   0.0462637
         647    -2.57463    -3.95818   0.0462417
         648     -2.6376    -3.95615   0.0462152
         649    -2.59219    -3.95404   0.0461918
         650    -2.65494    -3.95205   0.0461639
         651    -2.69708    -3.95012   0.0461333
         652    -2.68424    -3.94818   0.0461033
         653    -2.74774    -3.94634   0.0460694
         654     -2.7067    -3.94444   0.0460379
         655    -2.66859    -3.94249   0.0460088
         656    -2.68399    -3.94058   0.0459787
         657    -2.71526    -3.93871   0.0459465
         658    -2.69552    -3.93682   0.0459155
         659    -2.57262    -3.93475   0.0458924
         660     -2.7209    -3.93291   0.0458598
         661    -2.77184    -3.93116    0.045824
